Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,0.09969981944759185,0.21472924853726472,-0.11502942908967287,0.09090909090909091,0.4214876033057851,-0.3305785123966942,0.031088082901554404,0.10245901639344263,-0.07137093349188822,5.604102450696878,3.0048362193362195,2.5992662313606587,0.8517250991978289,0.7406291661076612,0.11109593309016774,0.48922077922077917,0.6807991083624156,-0.19157832914163647,0.0,0.2857142857142857,-0.2857142857142857,0.1267605633802817,0.125,0.0017605633802816878,0.7851268463895368
1,0.09328209259781997,0.21478554526688115,-0.12150345266906118,0.08108108108108109,0.46153846153846156,-0.3804573804573805,0.0,0.08502024291497975,-0.08502024291497975,inf,3.021181417487149,inf,0.8454208765605259,0.740446513536593,0.10497436302393293,0.5696976030263017,0.6809401503605252,-0.11124254733422356,0.0,0.3034825870646766,-0.3034825870646766,0.04477611940298507,0.08588957055214724,-0.04111345114916217,0.7827522636850048
2,0.08610193962220593,0.21508916038563627,-0.12898722076343033,0.4827586206896552,0.32,0.1627586206896552,0.07246376811594203,0.09130434782608696,-0.018840579710144925,inf,2.8021758072012948,inf,0.8478660110024393,0.7404960351845638,0.10736997581787555,0.5800687578556692,0.6752155341164914,-0.09514677626082213,0.15853658536585366,0.2606060606060606,-0.10206947524020696,0.041666666666666664,0.09473684210526316,-0.0530701754385965,0.7837686353866558
3,0.0862903555300903,0.21514138597427337,-0.12885103044418306,0.06818181818181818,0.4,-0.33181818181818185,0.009950248756218905,0.1228813559322034,-0.1129311071759845,8.269774056353004,2.752653609703085,5.517120446649919,0.8479312200254976,0.7403902960411577,0.1075409239843399,0.5036132648485141,0.6755639890107511,-0.171950724162237,0.0,0.31891891891891894,-0.31891891891891894,0.05952380952380952,0.08695652173913043,-0.027432712215320912,0.7837680637490282
4,0.09766920310622965,0.21474353081787215,-0.1170743277116425,0.34285714285714286,0.42857142857142855,-0.08571428571428569,0.06220095693779904,0.06578947368421052,-0.003588516746411481,3.263827838827839,2.837595335698784,0.4262325031290546,0.852342376377994,0.7404424118332154,0.11189996454477869,0.4923636342199586,0.6763380413030307,-0.18397440708307206,0.11515151515151516,0.29120879120879123,-0.17605727605727606,0.0759493670886076,0.07878787878787878,-0.0028385116992711845,0.7852991951342205
5,0.09507904163355617,0.21486656241796437,-0.1197875207844082,0.3793103448275862,0.496,-0.11668965517241381,0.06637168141592921,0.11848341232227488,-0.052111730906345674,inf,2.8433415170295033,inf,0.8451084794205931,0.7401070351808089,0.10500144423978419,0.4979136385490669,0.6770349465530001,-0.17912130800393322,0.12138728323699421,0.3651685393258427,-0.24378125608884849,0.06097560975609756,0.13924050632911392,-0.07826489657301636,0.7827542644167009
6,0.07817588819731265,0.2149318130379779,-0.13675592484066523,0.4418604651162791,0.4774774774774775,-0.03561701236119841,0.08372093023255814,0.08558558558558559,-0.0018646553530274473,6.179159663865546,2.7977870889598577,3.381372574905688,0.8496298149794674,0.740680193488094,0.10894962149137344,0.46591404486843857,0.6757652969058405,-0.20985125203740196,0.15517241379310345,0.3118811881188119,-0.15670877432570843,0.11904761904761904,0.06870229007633588,0.05034532897128316,0.7841064732244936
7,0.08462180448389163,0.21490024341430275,-0.13027843893041113,0.3225806451612903,0.3333333333333333,-0.010752688172043001,0.07246376811594203,0.07391304347826087,-0.0014492753623188415,8.057354750512646,2.9199504838091794,5.1374042667034665,0.8462396604089909,0.7402534702385016,0.10598619017048927,0.5198202475615218,0.6794829024008516,-0.15966265483932984,0.10625,0.2391304347826087,-0.1328804347826087,0.10256410256410256,0.08284023668639054,0.01972386587771202,0.7830912447980976
8,0.09328916388650736,0.2148026535796411,-0.12151348969313373,0.4,0.4117647058823529,-0.0117647058823529,0.11004784688995216,0.09210526315789473,0.017942583732057427,7.1209101805898145,2.8009415584415582,4.319968622148256,0.8456569182608069,0.740404102051417,0.10525281620938987,0.5328040019419329,0.6772285142462695,-0.14442451230433662,0.17365269461077845,0.3240223463687151,-0.15036965175793662,0.1038961038961039,0.07142857142857142,0.03246753246753248,0.7827539785978872
9,0.08709064934738982,0.2150450640457126,-0.1279544146983228,0.5625,0.39344262295081966,0.16905737704918034,0.06930693069306931,0.16595744680851063,-0.09665051611544132,inf,3.010676854257637,inf,0.8482159695485914,0.7404562083688495,0.10775976117974184,0.5222367943176269,0.6828797165030113,-0.16064292218538434,0.15527950310559005,0.390625,-0.23534549689440995,0.0958904109589041,0.07272727272727272,0.02316313823163138,0.7835977157360406
