Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,16,0.19262241718705939,0.5668621955559525,-0.3742397783688931,0.5081967213114754,0.7752293577981652,-0.26703263648668973,0.02976190476190476,0.2847222222222222,-0.25496031746031744,16.424545454545456,1.0975506800448411,15.326994774500614,0.8028295863670604,0.7480259712899068,0.05480361507715359,0.8587620487268867,0.7839462748203913,0.07481577390649541,0.18993606119438977,0.393047663022717,-0.20311160182832722,0.19909244978696167,0.7539161701283191,-0.5548237203413575,0.7700816298532034
1,16,0.1759677261607823,0.5558874164391001,-0.37991969027831785,0.43283582089552236,0.7452830188679245,-0.3124471979724021,0.0,0.2839506172839506,-0.2839506172839506,inf,1.1779143087560129,inf,0.8098631548906449,0.7501636861058454,0.05969946878479948,0.8952115926615056,0.7907018326715998,0.10450975998990586,0.1899086543063007,0.392972666117512,-0.20306401181121134,0.14710892056352537,0.7321106544927322,-0.5850017339292068,0.7739570471486715
2,16,0.17456617363020271,0.5528679423809011,-0.3783017687506984,0.42857142857142855,0.8421052631578947,-0.41353383458646614,0.024844720496894408,0.2781456953642384,-0.253300974867344,19.006,1.2369345662344977,17.7690654337655,0.8087339660540593,0.7507280932766509,0.05800587277740843,0.8953409058311628,0.7933258205391759,0.10201508529198688,0.18942476294408744,0.3930439510180968,-0.20361918807400936,0.1438974914223107,0.7255201452667271,-0.5816226538444165,0.7743057461014313
3,16,0.19780834396405708,0.5525456811830224,-0.3547373372189653,0.6582278481012658,0.755,-0.09677215189873423,0.2,0.3503184713375796,-0.15031847133757958,14.185430107526884,1.2392290667989085,12.946201040727974,0.8018733102596013,0.7521668490266197,0.049706461232981614,0.8575594773185135,0.7948301559391935,0.06272932137931997,0.1909597790218598,0.3925560929173916,-0.2015963138955318,0.21035804114462903,0.7249274283030179,-0.514569387158389,0.771929448484017
4,16,0.17515433758529045,0.5551902357531,-0.3800358981678096,0.47435897435897434,0.8159203980099502,-0.34156142365097586,0.024539877300613498,0.33557046979865773,-0.3110305924980442,inf,1.2008919394091129,inf,0.8079759347695058,0.7516829535891418,0.056292981180363966,0.893266519546337,0.792777246065381,0.10048927348095593,0.18940893188393468,0.3934639448136664,-0.20405501292973174,0.1474850000528514,0.7306263171848345,-0.5831413171319831,0.7741265377052179
5,16,0.1595570234961204,0.5472800791845053,-0.3877230556883849,0.3333333333333333,0.7625570776255708,-0.4292237442922375,0.011834319526627219,0.32167832167832167,-0.30984400215169444,inf,1.2608281741506873,inf,0.8127488025182149,0.7520450895174993,0.06070371300071564,0.9195396454270128,0.7969270427140056,0.12261260271300722,0.1890795646884777,0.3929422050809087,-0.20386264039243102,0.0983893587489868,0.713804425852733,-0.6154150671037462,0.7761652833036081
6,16,0.17689193179353274,0.550737317422679,-0.3738453856291462,0.45348837209302323,0.7772020725388601,-0.32371370044583686,0.012987012987012988,0.2911392405063291,-0.2781522275193161,13.924333333333333,1.2229589171721367,12.701374416161197,0.8075876332093829,0.752678334787408,0.054909298421974895,0.8862835489537574,0.7959166943878546,0.09036685456590277,0.18975134755526765,0.39285733339367496,-0.2031059858384073,0.1473091445365537,0.7224029578685863,-0.5750938133320327,0.7748004984680111
7,16,0.15976675057903542,0.5498758794276318,-0.3901091288485964,0.5441176470588235,0.7867298578199052,-0.24261221076108175,0.012121212121212121,0.19047619047619047,-0.17835497835497835,17.041666666666664,1.2595705240813937,15.78209614258527,0.8120797833135628,0.752425532655184,0.059654250658378816,0.9179632049598941,0.7964381827877612,0.1215250221721329,0.18970749170657666,0.39290713215011575,-0.20319964044353908,0.10053852649421222,0.7196785234540605,-0.6191399969598482,0.776503121141446
8,16,0.1740713959372721,0.5578291790635631,-0.383757783126291,0.325,0.7286432160804021,-0.40364321608040205,0.029940119760479042,0.2482758620689655,-0.21833574230848646,13.49969696969697,1.2028417804794524,12.296855189217517,0.8078488994510341,0.7494712234401371,0.05837767601089705,0.8897341496930287,0.7901703264780752,0.0995638232149535,0.18936925423041526,0.392491717636796,-0.20312246340638077,0.14454606040135026,0.7359047899922375,-0.5913587295908873,0.7727774729043765
9,16,0.1951628062906882,0.5543937352322332,-0.35923092894154507,0.4642857142857143,0.7487179487179487,-0.2844322344322344,0.017964071856287425,0.296551724137931,-0.2785876522816436,inf,1.1957186773323065,inf,0.8045351118712359,0.7504841841600016,0.05405092771123432,0.8624149551498146,0.7921796357394087,0.07023531941040584,0.18948646420804985,0.3927204188777738,-0.20323395466972397,0.21001637978814056,0.7288705152004072,-0.5188541354122667,0.7722790048932181
