Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,16,0.6429349806096314,0.21623705272801302,0.42669792788161837,0.8457738748627881,0.46595744680851064,0.37981642805427746,0.3354480570975416,0.09311348205625607,0.24233457504128553,0.6320550310426992,2.4308472564926853,-1.798792225449986,0.7724824089583717,0.7753917135917499,-0.002909304633378129,0.782787386330698,0.6962643178279704,0.08652306850272762,0.25421576428625114,0.013969364059037648,0.2402464002272135,0.700925003091102,0.24253083865440148,0.45839416443670045,0.7734519241932016
1,16,0.6397838852913715,0.2161789966709228,0.42360488862044876,0.8567523236741389,0.4773218142548596,0.3794305094192793,0.3577759871071716,0.08753568030447194,0.27024030680269967,0.6497019641403198,2.4381448736604767,-1.7884429095201568,0.7713914586847149,0.775340385561252,-0.003948926876537029,0.7832533169070359,0.6969168248572928,0.08633649204974314,0.23697805807187752,0.01354972542272156,0.22342833264915596,0.7000142688304325,0.2425070100037927,0.4575072588266398,0.7726449972499292
2,16,0.6427396611972152,0.2176586110152609,0.42508105018195425,0.8483674598782512,0.5030927835051546,0.3452746763730966,0.3450244698205546,0.08536585365853659,0.259658616162018,0.6303874899426204,2.4076424288440372,-1.7772549389014167,0.7726840233432329,0.7749556977965809,-0.0022716744533479716,0.7829531690398766,0.6949947140023411,0.08795845503753541,0.2646219382530758,0.01461469307301635,0.25000724518005946,0.6992238544509566,0.2441073936395819,0.4551164608113747,0.7734520288671802
3,16,0.642421978106135,0.21671791899143722,0.4257040591146978,0.8512848551120831,0.5205183585313174,0.3307664965807656,0.3259318001586043,0.08535402521823472,0.24057777494036958,0.6325918569095631,2.4170812578982077,-1.7844894009886447,0.7716948162874278,0.7743720989562977,-0.002677282668869907,0.7822963281459032,0.6943860987525968,0.0879102293933064,0.26616578309871314,0.0137216262938506,0.25244415680486254,0.6986854751739519,0.2431192360482391,0.45556623912571276,0.7725797901191571
4,16,0.6410779933071481,0.2184608269782009,0.4226171663289472,0.8664835164835165,0.4809322033898305,0.385551313093686,0.3520686963309914,0.09990108803165183,0.2521676082993396,0.64137589242582,2.391756106086748,-1.7503802136609279,0.7724627723117142,0.7753903942170803,-0.0029276219053661068,0.7834832224294214,0.6953038984048431,0.08817932402457829,0.25258539206782743,0.020100885506311172,0.23248450656151626,0.6993907284608392,0.24433190413482375,0.4550588243260154,0.7734083560285551
5,16,0.642807168722126,0.21766913448084116,0.4251380342412848,0.8841364374661613,0.4404494382022472,0.44368699926391414,0.3481654957064793,0.0820969337289812,0.2660685619774981,0.6297640619983992,2.4275377090741292,-1.7977736470757302,0.77259463224737,0.774367711708886,-0.0017730794615159473,0.7828371692646736,0.6941274671778959,0.08870970208677775,0.2657700111392834,0.016804563025381126,0.24896544811390225,0.699186041614847,0.2438113508157857,0.4553746907990613,0.773190481899966
6,16,0.639200682980857,0.21665071750950537,0.4225499654713516,0.8508196721311475,0.47186147186147187,0.37895820026967564,0.3392,0.0854126679462572,0.2537873320537428,0.6542661185885993,2.4212828205988433,-1.767016702010244,0.7719845380461112,0.7743884203530164,-0.0024038823069051363,0.7840199017439505,0.6945809730077673,0.0894389287361832,0.2267655416924525,0.011122525492817894,0.2156430161996346,0.7009768171991977,0.2434067772019759,0.4575700399972218,0.7727540960830998
7,16,0.641308473650869,0.21598285353343946,0.42532562011742947,0.8422489082969432,0.48478260869565215,0.35746629960129106,0.33570300157977884,0.08869395711500974,0.2470090444647691,0.6398303932925714,2.442503449596825,-1.8026730563042537,0.7721988775724926,0.7744671144505966,-0.0022682368781039575,0.783226472895044,0.6954696606155628,0.08775681227948118,0.25374159789786627,0.014476263865798755,0.2392653340320675,0.6994106392957569,0.24218275175900547,0.45722788753675137,0.7729285209947454
8,16,0.6437610729048446,0.21739763347498972,0.4263634394298549,0.8542936288088643,0.4681724845995893,0.38612114420927496,0.3333333333333333,0.08837656099903939,0.24495677233429392,0.6246577827329417,2.416612368082119,-1.7919545853491776,0.7724266941733691,0.7750010060478566,-0.0025743118744875337,0.7823105351245203,0.6952660119326889,0.08704452319183142,0.26166096104229963,0.014043959320629162,0.24761700172167048,0.7009086839052332,0.24381514296960943,0.45709354093562377,0.7732121065923672
9,16,0.6415771185948194,0.21807460648896687,0.4235025121058525,0.8479913137893594,0.47555555555555556,0.37243575823380387,0.3357429718875502,0.08787010506208214,0.24787286682546805,0.6374356864484049,2.4016655318748805,-1.7642298454264758,0.7720877115025511,0.7743460154353053,-0.0022583039327542798,0.7829851852125711,0.6934994212597202,0.0894857639528509,0.2661413734986164,0.01506580022268996,0.25107557327592644,0.6976997498198013,0.244497823931334,0.4532019258884673,0.7728195458671858
