Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,16,0.9632711563201136,0.9216724896846357,0.041598666635477954,0.9897398314400879,0.9679358717434869,0.021803959696600983,0.7837837837837838,0.8333333333333334,-0.0495495495495496,0.0935478674148468,0.09617674382800315,-0.0026288764131563447,0.8812206753931404,0.7365022620410842,0.14471841335205626,0.8872725978660527,0.7390517656230279,0.14822083224302485,0.7175665024751942,0.32660296037571024,0.3909635420994839,1.0,0.9995983935742971,0.00040160642570286065,0.8344566088295355
1,16,0.9628578985435974,0.9187611476711947,0.044096750872402724,0.9902475618904726,0.9754948162111216,0.014752745679351031,0.8083140877598153,0.7971698113207547,0.011144276439060574,0.09745000618707507,0.10233784499321515,-0.004887838806140077,0.8809815220284294,0.736693295716208,0.14428822631222138,0.8873258359265114,0.7399497462789435,0.14737608964756788,0.7155359110057933,0.2948255120329265,0.4207103989728668,0.9998488855307895,1.0,-0.00015111446921045601,0.8342821934337061
2,16,0.9631270894342009,0.9190371468534023,0.04408994258079857,0.9895209580838323,0.9706161137440759,0.018904844339756477,0.8084112149532711,0.7995337995337995,0.008877415419471513,0.09492377454288362,0.10154198398216763,-0.006618209439284012,0.8811928348252195,0.7370285239662728,0.14416431085894665,0.8873255213516751,0.7401184760261093,0.14720704532556583,0.7168985338074292,0.2959621117930544,0.42093642201437476,1.0,1.0,0.0,0.8345438783802559
3,16,0.9630402843340938,0.9184540665763732,0.04458621775772065,0.9874908020603385,0.9653121902874133,0.022178611772925128,0.7582938388625592,0.832183908045977,-0.07389006918341778,0.09487280078119417,0.10082788119175043,-0.005955080410556257,0.8812237074880258,0.7378617506910101,0.1433619567970157,0.8873817561232198,0.7406854450451414,0.14669631107807835,0.7159032235536874,0.2897862016479656,0.4261170219057218,1.0,1.0,0.0,0.834805587116346
4,16,0.9631743348572597,0.9178966399220178,0.04527769493524192,0.9844674556213018,0.9638318670576735,0.020635588563628238,0.7944862155388471,0.7903930131004366,0.004093202438410493,0.09407748998029271,0.10319937795919562,-0.009121887978902912,0.8814016577041157,0.7372115368642209,0.1441901208398948,0.8874196150959952,0.7404208464297546,0.14699876866624062,0.7168920057616295,0.2864478547795464,0.4304441509820831,1.0,1.0,0.0,0.8347401230585355
5,16,0.9629955489451474,0.9209795121830583,0.04201603676208909,0.9869646182495344,0.9664107485604606,0.0205538696890738,0.7980769230769231,0.8231292517006803,-0.02505232862375717,0.09532265974596736,0.09438208740883011,0.0009405723371372493,0.8811881274427348,0.7383111639619326,0.14287696348080214,0.8873693300283305,0.7402779018638306,0.14709142816449994,0.7160396294892248,0.31354005453230527,0.40249957495691957,1.0,1.0,0.0,0.8349363820105398
6,16,0.9632998875312946,0.918902865366834,0.04439702216446062,0.9854586129753915,0.9674641148325359,0.017994498142855586,0.8238095238095238,0.7940503432494279,0.029759180560095855,0.09357018310614482,0.09911465187778132,-0.0055444687716365015,0.8812781137474092,0.7381791073501565,0.1430990063972527,0.8872931359157216,0.7406941499989943,0.14659898591672726,0.71759084845219,0.29382494845872953,0.4237658999934605,1.0,1.0,0.0,0.8349581875034495
7,16,0.9631995746487834,0.9202485144337441,0.04295106021503925,0.9875799774181407,0.9644859813084112,0.02309399610972951,0.7922077922077922,0.798728813559322,-0.0065210213515297655,0.09389145221229035,0.097126949011602,-0.003235496799311649,0.8813922567599235,0.7378555728491173,0.1435366839108062,0.8874061671290094,0.7402702999655253,0.14713586716348415,0.7171649426173247,0.30718731993015175,0.4099776226871729,1.0,1.0,0.0,0.8348928186038013
8,16,0.9633990931015226,0.9182298894573652,0.04516920364415744,0.9891507669285448,0.969639468690702,0.0195112982378427,0.7834549878345499,0.8408071748878924,-0.05735218705334244,0.09320687168252897,0.1022679375524534,-0.009061065869924431,0.8812573984993358,0.7375560352096967,0.14370136328963912,0.887256747611539,0.7406562519325502,0.1466004956789888,0.7190264603655453,0.29011064472781767,0.4289158156377276,1.0,1.0,0.0,0.8347183128077177
9,16,0.9632001425789486,0.9204862104788349,0.04271393210011365,0.9925456578456952,0.9693486590038314,0.02319699884186377,0.8193069306930693,0.7991169977924945,0.020189932900574803,0.0943580182941946,0.09601772706856627,-0.0016597087743716737,0.8812522086304686,0.738140609821298,0.14311159880917057,0.8873337453413488,0.7403678204528633,0.14696592488848548,0.7171766744832372,0.3064459132294179,0.4107307612538193,1.0,1.0,0.0,0.8348928566670664
10,16,0.9631989581392404,0.9218532759151966,0.04134568222404378,0.9862043251304996,0.968421052631579,0.017783272498920644,0.7741176470588236,0.8148148148148148,-0.04069716775599119,0.09350605681013043,0.09496272908661861,-0.0014566722764881856,0.8813784220801235,0.7370374881256123,0.1443409339545112,0.8873994946499023,0.7393622273887331,0.14803726726116917,0.7173627524386217,0.3220435561910204,0.3953191962476013,1.0,1.0,0.0,0.8346311051098031
11,16,0.962915319118032,0.9212969934887957,0.041618325629236286,0.9881569207994079,0.9678048780487805,0.020352042750627408,0.8088578088578089,0.7967289719626168,0.012128836895192063,0.09621362012524584,0.09360759397465895,0.0026060261505868876,0.8811599956232745,0.7382478143825727,0.14291218124070182,0.887396837443988,0.740149551205749,0.14724728623823902,0.7146182366534988,0.31630407778160285,0.3983141588718959,1.0,1.0,0.0,0.8348928186038014
