Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,0.6392266626898317,0.21758794006132623,0.42163872262850555,0.8624105668684645,0.5010526315789474,0.3613579352895171,0.3487460815047022,0.10531496062992125,0.24343112087478097,0.6550633690661052,2.4222304970984436,-1.7671671280323384,0.771192013414997,0.7755942030038931,-0.004402189588896155,0.7834228135322211,0.6968068003415726,0.08661601319064849,0.2364066193853428,0.012048192771084338,0.22435842661425845,0.7161048689138577,0.2588679245283019,0.45723694438555584,0.7726013815062014
1,0.6415115884866689,0.21689769894159108,0.42461388954507784,0.8591084204733076,0.47368421052631576,0.38542420994699184,0.3418734987990392,0.09108341323106424,0.250790085567975,0.6373563959538882,2.4337613311013833,-1.796404935147495,0.7723600868205753,0.7753556703907235,-0.0029955835701481748,0.7831943371465264,0.6967885767700284,0.08640576037649805,0.3035294117647059,0.011111111111111112,0.29241830065359475,0.7039000378644453,0.23766816143497757,0.46623187642946773,0.7733429823709989
2,0.6423232798738453,0.21707412587794123,0.4252491539959041,0.8545653362493165,0.5053995680345572,0.3491657682147593,0.34146341463414637,0.098922624877571,0.24254078975657536,0.6353216452346283,2.4353904786889595,-1.8000688334543313,0.772567737364759,0.7751956508885589,-0.002627913523799874,0.783105572237675,0.6959638068320592,0.0871417654056158,0.2916666666666667,0.010256410256410256,0.2814102564102564,0.7012743628185907,0.2583397982932506,0.4429345645253401,0.7733865933568185
3,0.6401389263083185,0.21626895925945805,0.42386996704886043,0.833241607044579,0.4442105263157895,0.38903108072878945,0.3448546739984289,0.09322865554465162,0.2516260184537773,0.6457424408717587,2.4435674660199664,-1.7978250251482077,0.7726784445579192,0.7746754713355433,-0.0019970267776240336,0.7840797867528537,0.6955664286141049,0.08851335813874883,0.25679012345679014,0.022988505747126436,0.2338016177096637,0.6886405959031657,0.2287878787878788,0.45985271711528697,0.7732990145420704
4,0.6435872580649807,0.21704298126176108,0.42654427680321966,0.8518117901568415,0.5349887133182845,0.31682307683855704,0.3686671862821512,0.09712586719524281,0.27154131908690843,0.6248409142083121,2.422894788825084,-1.7980538746167718,0.7728448948926682,0.7746602609378249,-0.0018153660451567522,0.7826694088864737,0.6952592238794107,0.08741018500706299,0.30597014925373134,0.017142857142857144,0.2888272921108742,0.7051282051282052,0.25998433829287393,0.44514386683533125,0.7734083036915657
5,0.6434061157713964,0.2158995780829409,0.4275065376884555,0.8417582417582418,0.5127118644067796,0.32904637735146214,0.35486508585445625,0.11225444340505145,0.2426106424494048,0.6274290308488064,2.468412596299486,-1.8409835654506796,0.7721403569354995,0.7748797455932179,-0.002739388657718389,0.7822400886711096,0.6968720957812685,0.0853679928898411,0.27989821882951654,0.011363636363636364,0.2685345824658802,0.700377358490566,0.26373626373626374,0.4366410947543023,0.7730374295115912
6,0.6421602265260116,0.21614599129682183,0.42601423522918974,0.8544857768052516,0.4525862068965517,0.4018995699086999,0.34477379095163807,0.08811881188118811,0.25665497907045,0.635677775838813,2.4644571486755553,-1.8287793728367423,0.7723038486097578,0.7745353424289122,-0.00223149381915444,0.7829218411351826,0.6950507312710987,0.08787110986408386,0.2564705882352941,0.006172839506172839,0.25029774872912125,0.7057728119180633,0.22713414634146342,0.47863866557659984,0.7730157191768438
7,0.6425965179259234,0.21724858739648098,0.4253479305294424,0.8615554329840044,0.4363256784968685,0.4252297544871359,0.3394495412844037,0.08231707317073171,0.25713246811367196,0.63201610849411,2.425656054959802,-1.793639946465692,0.7721785496541084,0.7744320606342042,-0.002253510980095852,0.7826574679609722,0.6944145321999402,0.08824293576103204,0.25,0.0,0.25,0.6971908062750821,0.2251552795031056,0.4720355267719765,0.7729503122139307
8,0.6405260356014952,0.21670355360127974,0.4238224820002155,0.850512682137075,0.4806378132118451,0.36987486892522986,0.3561013046815042,0.08088978766430738,0.2752115170171968,0.6459046986423752,2.4343092426548707,-1.7884045440124954,0.7717933104301599,0.7757092858745775,-0.003915975444417685,0.7832769766299494,0.6969575756838353,0.08631940094611412,0.23471882640586797,0.01694915254237288,0.21776967386349508,0.7076811066618129,0.2302158273381295,0.47746527932368343,0.7729939184418421
9,0.6431373960144562,0.21578347515542035,0.42735392085903584,0.8427947598253275,0.4826086956521739,0.3601860641731536,0.33849728892331526,0.0899100899100899,0.24858719901322535,0.627773445118088,2.464540784724545,-1.8367673396064568,0.7728088654833206,0.7750698015000668,-0.002260936016746151,0.7828666078220399,0.6971612727363636,0.08570533508567624,0.2698412698412698,0.007142857142857143,0.2626984126984127,0.6942580164056674,0.23542770628311885,0.4588303101225486,0.7735391556806568
