Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,16,0.9629710032538694,0.9199338042304065,0.043037199023462924,0.9888806523350631,0.9698736637512148,0.019006988583848305,0.8211764705882353,0.8194444444444444,0.0017320261437908657,0.09646236323292375,0.09533751423268817,0.0011248490002355727,0.8811533444953927,0.7391197056955228,0.14203363879986997,0.8873838871413371,0.7409996771594363,0.14638420998190083,0.7155058817626921,0.30582549446638396,0.4096803872963082,1.0,1.0,0.0,0.8351544892766267
1,16,0.9630064675079115,0.9199329335195442,0.04307353398836733,0.9887471867966992,0.9660697455230914,0.022677441273607712,0.8567961165048543,0.7775280898876404,0.07926802661721388,0.09567709944826493,0.09806729114112911,-0.0023901916928641825,0.88116660231316,0.737497859912795,0.14366874240036498,0.8873679548193643,0.7401077244152491,0.14726023040411518,0.7160175020962105,0.3039796278670234,0.4120378742291871,1.0,1.0,0.0,0.8346528487499072
2,16,0.9628319809867246,0.919059883381304,0.04377209760542067,0.9874815905743741,0.9723046488625123,0.015176941711861791,0.8387096774193549,0.8226950354609929,0.016014641958361997,0.0971230441082005,0.10119096158643037,-0.004067917478229877,0.8810161731768386,0.7371779644625247,0.14383820871431385,0.887342387199608,0.740125964296562,0.14721642290304604,0.7140624593351521,0.2973598769777147,0.4167025823574374,1.0,1.0,0.0,0.8344565136713731
3,16,0.9631231940428124,0.918756798383044,0.04436639565976841,0.9877140729709606,0.9769452449567724,0.010768828014188214,0.7995495495495496,0.801452784503632,-0.0019032349540824,0.09509330758622307,0.09993711979361346,-0.0048438122073903855,0.8811624676473008,0.7378672121876624,0.1432952554596384,0.8873098225677134,0.7405806800234046,0.1467291425443088,0.7175088657059482,0.2925398769452427,0.4249689887607055,1.0,1.0,0.0,0.8348274354304289
4,16,0.963209930141453,0.919975106300044,0.043234823841408976,0.988709070380128,0.9542056074766355,0.03450346290349249,0.8136792452830188,0.7713625866050808,0.04231665867793799,0.093609694723609,0.09900088495182618,-0.005391190228217185,0.8814311366727907,0.7371682198102435,0.14426291686254722,0.8874195862186738,0.7399514036522972,0.14746818256637662,0.7170893531595443,0.3043161820972544,0.41277317106228983,1.0,1.0,0.0,0.8347401230585356
5,16,0.9631307937235359,0.9191532239405678,0.043977569782968184,0.9878003696857671,0.9774951076320939,0.010305262053673214,0.7797029702970297,0.8322295805739515,-0.05252661027692174,0.09495051069612623,0.10039803853405922,-0.0054475278379329944,0.8810882802207057,0.7374701852239605,0.14361809499674527,0.8872467351491642,0.7402445658914518,0.14700216925771237,0.716914988976592,0.29573506542877287,0.42117992354781913,1.0,1.0,0.0,0.8346529296343451
6,16,0.9629720489733392,0.9200936323518791,0.04287841662146008,0.986219739292365,0.9577735124760077,0.028446226816357223,0.7914691943127962,0.8137931034482758,-0.022323909135479658,0.09538142637918479,0.09642156411664451,-0.0010401377374597287,0.8812745225155828,0.738227714277711,0.14304680823787186,0.8874300715026129,0.7404461249635539,0.146983946539059,0.7155407036954323,0.3058493280988715,0.4096913755965608,1.0,1.0,0.0,0.8349581732297251
7,16,0.963267938487161,0.9220172484412338,0.041250690045927185,0.9845588235294118,0.9533267130089375,0.031232110520474365,0.7839195979899497,0.8017429193899782,-0.017823321400028513,0.09459669253171943,0.09444672675820591,0.00014996577351351903,0.8811831036494306,0.7370029921280622,0.14418011152136845,0.8872650398091858,0.7392648547795264,0.1480001850296594,0.7175679602273993,0.3259514452327276,0.3916165149946717,1.0,1.0,0.0,0.8345001579625496
8,16,0.9630772113847759,0.9192020916924004,0.04387511969237545,0.989501312335958,0.969811320754717,0.019689991581240962,0.8164251207729468,0.8194130925507901,-0.002987971777843268,0.09453915625504036,0.0991305796871875,-0.004591423432147135,0.8813114502250189,0.7379131907152193,0.14339825950979956,0.8874127359254272,0.7405260892645222,0.146886646660905,0.7157513149026693,0.29955739284486593,0.41619392205780337,1.0,1.0,0.0,0.8348927805405364
9,16,0.9631687488257793,0.9218936230297106,0.041275125796068735,0.9907544378698225,0.9599217986314761,0.03083263923834645,0.7970297029702971,0.7792494481236203,0.01778025484667678,0.09382449800621034,0.09294023597802484,0.0008842620281855063,0.8813322062786005,0.7379354352830028,0.14339677099559778,0.8873709317060048,0.7398154973845916,0.14755543432141316,0.716775761846641,0.32282948136043393,0.3939462804862071,1.0,1.0,0.0,0.8349364962003346
