Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,16,0.9631296625111043,0.9144201731898957,0.048709489321208665,0.9873980726464048,0.9494655004859086,0.03793257216049617,0.7980769230769231,0.7596371882086168,0.03843973486830632,0.09413218368231906,0.10857647052537737,-0.014444286843058318,0.8813214938054929,0.7387371458313052,0.14258434797418762,0.8873952479669398,0.7422280407248165,0.1451672072421233,0.7165927011923008,0.2570989927429369,0.4594937084493639,1.0,1.0,0.0,0.8351545416136158
1,16,0.9632609077880266,0.9157341822211136,0.047526725566913064,0.9864559819413092,0.960710944808232,0.025745037133077187,0.8138424821002387,0.8082191780821918,0.005623304018046893,0.09370857698403386,0.10872335275396919,-0.015014775769935332,0.8813653482095418,0.7371340694601882,0.1442312787493536,0.8873647781763563,0.7410335767895374,0.14633120138681888,0.7178315116095538,0.2667867371116235,0.45104477449793035,1.0,0.9999247554552294,7.524454477059184e-05,0.83467462093746
2,16,0.962982717625547,0.917215700637315,0.045767016988232045,0.9882136279926336,0.9703557312252964,0.017857896767337178,0.8282352941176471,0.7986111111111112,0.02962418300653591,0.09584460769853274,0.10862330054664575,-0.012778692848113005,0.8811586113860745,0.7354784340402742,0.1456801773458003,0.8873740588515389,0.7397862254879822,0.14758783336355663,0.7153117696074853,0.2834939234568987,0.4318178461505866,1.0,0.9997620935765266,0.00023790642347343294,0.8339767595220016
3,16,0.9632711605493384,0.9179569454795914,0.04531421506974698,0.9837735849056604,0.9712163416898792,0.012557243215781111,0.8004866180048662,0.8026905829596412,-0.0022039649547750395,0.093435540582029,0.10213212394922007,-0.008696583367191063,0.8813886380194095,0.7379991163542893,0.1433895216651202,0.8873746473004293,0.7409420449207362,0.14643260237969302,0.7175894871462274,0.2855253124681476,0.4320641746780798,1.0,1.0,0.0,0.8349364010421721
4,16,0.962670480095665,0.9133255268280059,0.049344953267659086,0.9906542056074766,0.9629277566539924,0.027726448953484195,0.7767441860465116,0.8290398126463701,-0.052295626599858425,0.09688499190400661,0.11515844349265214,-0.01827345158864553,0.8811938467191786,0.7366351360404214,0.14455871067875714,0.8875221244666683,0.7413766435858486,0.1461454808808197,0.7152758754672786,0.2462710428657981,0.46900483260148046,0.9997064111831973,0.9999243570347958,-0.0002179458515985111,0.8343911875928981
5,16,0.9629666039179583,0.9150999760179129,0.047866627900045366,0.9866320089119941,0.9574468085106383,0.02918520040135575,0.8065326633165829,0.7559912854030502,0.05054137791353275,0.09454561397087949,0.1076736480740816,-0.01312803410320211,0.881525353277941,0.7385557547430992,0.1429695985348418,0.887566207001656,0.7419542135474372,0.14561199345421882,0.7155464472163808,0.26321486367707136,0.45233158353930947,1.0,1.0,0.0,0.8352636166572461
6,16,0.9633798994872702,0.9136524042159708,0.04972749527129938,0.9899441340782122,0.95489443378119,0.03504970029702226,0.8035264483627204,0.7543478260869565,0.04917862227576386,0.09213599921953647,0.11213194001814572,-0.019995940798609252,0.8814888393839819,0.737585539985614,0.14390329939836788,0.8873602733121835,0.7417097075457131,0.1456505657664704,0.718484766909816,0.25024323551708466,0.46824153139273134,1.0,1.0,0.0,0.8349583112090606
7,16,0.9633339732227129,0.9147732252943144,0.048560747928398484,0.9864915572232645,0.9651600753295668,0.021331481893697712,0.8029556650246306,0.7937915742793792,0.009164090745251374,0.09336852500245732,0.11136410424647145,-0.017995579244014126,0.8813156029754993,0.7372163734599496,0.14409922951554965,0.8873060652926503,0.7413865186642228,0.14591954662842754,0.7182631631107557,0.2620503395862211,0.45621282352453457,1.0,0.9997663698778203,0.00023363012217969548,0.8346310765623542
8,16,0.9629669327224326,0.9184715762927167,0.044495356429715915,0.9855180096546602,0.9613152804642167,0.024202729190443528,0.8364928909952607,0.8206896551724138,0.01580323582284693,0.09526074196130493,0.10146774296966406,-0.006207001008359123,0.8812809268941934,0.7378224269520235,0.14345849994216986,0.887443994208363,0.7407035124771676,0.14674048173119536,0.716540505028208,0.2927193791891747,0.4238211258390333,0.9998901098901098,1.0,-0.00010989010989015391,0.8348490268174732
9,16,0.9628709357630789,0.9182669084331291,0.044604027329949836,0.9891710231516057,0.9656816015252622,0.023489421626343487,0.7858942065491183,0.8217391304347826,-0.03584492388566429,0.09568862563689182,0.10145415233012778,-0.005765526693235962,0.8812581224385239,0.738049500855656,0.14320862158286785,0.88746772354452,0.7409097208466687,0.14655800269785124,0.7140150168695609,0.28958765621411076,0.42442736065545017,1.0,1.0,0.0,0.8348709988371674
